first_event	event_time	difference	modulated
266643.096000	268413.468000	1770.372000	-0.011592
266643.096000	268469.140000	1826.044000	-0.012032
266643.096000	268569.352000	1926.256000	-0.010424
266643.096000	268647.292000	2004.196000	-0.011840
266643.096000	268725.232000	2082.136000	-0.013256
266643.096000	268747.524000	2104.428000	0.009768
266643.096000	268803.176000	2160.080000	-0.010672
266643.096000	268959.056000	2315.960000	-0.013504
333302.508000	333302.508000	0.000000	0.000000
333302.508000	333358.180000	55.672000	-0.000440
333302.508000	333380.448000	77.940000	-0.001416
333302.508000	333402.720000	100.212000	0.001608
333302.508000	333458.388000	155.880000	-0.002832
333302.508000	333480.660000	178.152000	0.000192
333302.508000	333502.928000	200.420000	-0.000784
333302.508000	333536.332000	233.824000	-0.000248
333302.508000	333558.600000	256.092000	-0.001224
333302.508000	333580.868000	278.360000	-0.002200
333302.508000	333592.024000	289.516000	0.019312
333302.508000	333614.272000	311.764000	-0.001664
333302.508000	333636.540000	334.032000	-0.002640
333302.508000	333658.808000	356.300000	-0.003616
333302.508000	333669.964000	367.456000	0.017896
333302.508000	333681.080000	378.572000	-0.000592
333302.508000	333692.212000	389.704000	-0.003080
333302.508000	333714.480000	411.972000	-0.004056
333302.508000	333736.752000	434.244000	-0.001032
333302.508000	333747.904000	445.396000	0.016480
333302.508000	333759.020000	456.512000	-0.002008
333302.508000	333770.156000	467.648000	-0.000496
333302.508000	333792.424000	489.916000	-0.001472
333302.508000	333814.692000	512.184000	-0.002448
333302.508000	333825.848000	523.340000	0.019064
333302.508000	333836.960000	534.452000	-0.003424
333302.508000	333848.096000	545.588000	-0.001912
333302.508000	333859.232000	556.724000	-0.000400
333302.508000	333870.364000	567.856000	-0.002888
333302.508000	333892.632000	590.124000	-0.003864
333302.508000	333903.808000	601.300000	0.037648
333302.508000	333914.904000	612.396000	-0.000840
333302.508000	333926.040000	623.532000	0.000672
333302.508000	333937.172000	634.664000	-0.001816
333302.508000	333948.304000	645.796000	-0.004304
333302.508000	333970.572000	668.064000	-0.005280
333302.508000	333981.748000	679.240000	0.036232
333302.508000	333992.844000	690.336000	-0.002256
333302.508000	334003.996000	701.488000	0.015256
333302.508000	334015.112000	712.604000	-0.003232
333302.508000	334026.244000	723.736000	-0.005720
333302.508000	334037.384000	734.876000	-0.000208
333302.508000	334048.516000	746.008000	-0.002696
333302.508000	334070.784000	768.276000	-0.003672
333302.508000	334081.936000	779.428000	0.013840
333302.508000	334093.056000	790.548000	-0.000648
333302.508000	334104.188000	801.680000	-0.003136
333302.508000	334115.324000	812.816000	-0.001624
333302.508000	334126.456000	823.948000	-0.004112
333302.508000	334137.616000	835.108000	0.021400
333302.508000	334148.724000	846.216000	-0.005088
333302.508000	334159.880000	857.372000	0.016424
333302.508000	334170.996000	868.488000	-0.002064
333302.508000	334182.128000	879.620000	-0.004552
333302.508000	334193.264000	890.756000	-0.003040
333302.508000	334204.396000	901.888000	-0.005528
333302.508000	334215.556000	913.048000	0.019984
333302.508000	334226.664000	924.156000	-0.006504
333302.508000	334237.820000	935.312000	0.015008
333302.508000	334248.936000	946.428000	-0.003480
333302.508000	334260.068000	957.560000	-0.005968
333302.508000	334271.208000	968.700000	-0.000456
333302.508000	334282.336000	979.828000	-0.006944
333302.508000	334293.500000	990.992000	0.022568
333302.508000	334304.608000	1002.100000	-0.003920
333302.508000	334315.760000	1013.252000	0.013592
333302.508000	334326.876000	1024.368000	-0.004896
333302.508000	334338.012000	1035.504000	-0.003384
333302.508000	334349.148000	1046.640000	-0.001872
333302.508000	334360.280000	1057.772000	-0.004360
333302.508000	334371.420000	1068.912000	0.001152
333302.508000	334382.548000	1080.040000	-0.005336
333302.508000	334393.700000	1091.192000	0.012176
333302.508000	334404.816000	1102.308000	-0.006312
333302.508000	334415.952000	1113.444000	-0.004800
333302.508000	334427.088000	1124.580000	-0.003288
333302.508000	334438.220000	1135.712000	-0.005776
333302.508000	334449.360000	1146.852000	-0.000264
333302.508000	334460.488000	1157.980000	-0.006752
333302.508000	334471.644000	1169.136000	0.014760
333302.508000	334482.760000	1180.252000	-0.003728
333302.508000	334493.912000	1191.404000	0.013784
333302.508000	334505.028000	1202.520000	-0.004704
333302.508000	334516.160000	1213.652000	-0.007192
333302.508000	334527.300000	1224.792000	-0.001680
333302.508000	334538.428000	1235.920000	-0.008168
333302.508000	334549.584000	1247.076000	0.013344
333302.508000	334560.700000	1258.192000	-0.005144
333302.508000	334571.852000	1269.344000	0.012368
333302.508000	334582.968000	1280.460000	-0.006120
333302.508000	334594.100000	1291.592000	-0.008608
333302.508000	334605.240000	1302.732000	-0.003096
333302.508000	334616.372000	1313.864000	-0.005584
333302.508000	334627.512000	1325.004000	-0.000072
333302.508000	334638.640000	1336.132000	-0.006560
333302.508000	334649.792000	1347.284000	0.010952
333302.508000	334660.912000	1358.404000	-0.003536
333302.508000	334672.044000	1369.536000	-0.006024
333302.508000	334683.180000	1380.672000	-0.004512
333302.508000	334694.312000	1391.804000	-0.007000
333302.508000	334705.468000	1402.960000	0.014512
333302.508000	334716.580000	1414.072000	-0.007976
333302.508000	334727.736000	1425.228000	0.013536
333302.508000	334738.852000	1436.344000	-0.004952
333302.508000	334749.984000	1447.476000	-0.007440
333302.508000	334761.124000	1458.616000	-0.001928
333302.508000	334772.252000	1469.744000	-0.008416
333302.508000	334783.408000	1480.900000	0.013096
333302.508000	334794.524000	1492.016000	-0.005392
333302.508000	334805.676000	1503.168000	0.012120
333302.508000	334816.792000	1514.284000	-0.006368
333302.508000	334827.924000	1525.416000	-0.008856
333302.508000	334839.084000	1536.576000	0.016656
333302.508000	334850.192000	1547.684000	-0.009832
333302.508000	334861.348000	1558.840000	0.011680
333302.508000	334872.464000	1569.956000	-0.006808
333302.508000	334894.732000	1592.224000	-0.007784
333302.508000	334905.864000	1603.356000	-0.010272
333302.508000	334917.004000	1614.496000	-0.004760
333302.508000	334928.136000	1625.628000	-0.007248
333302.508000	334939.276000	1636.768000	-0.001736
333302.508000	334950.404000	1647.896000	-0.008224
333302.508000	334972.676000	1670.168000	-0.005200
333302.508000	334994.968000	1692.460000	0.017824
333302.508000	335006.076000	1703.568000	-0.008664
333302.508000	335017.236000	1714.728000	0.016848
333302.508000	335028.344000	1725.836000	-0.009640
333302.508000	335050.616000	1748.108000	-0.006616
333302.508000	335072.884000	1770.376000	-0.007592
333302.508000	335084.016000	1781.508000	-0.010080
333302.508000	335106.284000	1803.776000	-0.011056
333302.508000	335128.556000	1826.048000	-0.008032
333302.508000	335150.828000	1848.320000	-0.005008
333302.508000	335161.956000	1859.448000	-0.011496
333302.508000	335173.112000	1870.604000	0.010016
333302.508000	335184.228000	1881.720000	-0.008472
333302.508000	335206.496000	1903.988000	-0.009448
333302.508000	335239.900000	1937.392000	-0.008912
333302.508000	335251.060000	1948.552000	0.016600
333302.508000	335262.168000	1959.660000	-0.009888
333302.508000	335273.320000	1970.812000	0.007624
333302.508000	335317.840000	2015.332000	-0.010328
333302.508000	335328.996000	2026.488000	0.011184
333302.508000	335451.472000	2148.964000	0.007816
333302.508000	335507.144000	2204.636000	0.007376
333302.508000	335529.412000	2226.904000	0.006400
333302.508000	335562.800000	2260.292000	-0.009064
